/Users/thomasleroy/Documents/1_Data_Eng_OClassrooms/projet_12_dbt_sport/cron/daily_pipeline.sh: line 7: docker: command not found
/Users/thomasleroy/Documents/1_Data_Eng_OClassrooms/projet_12_dbt_sport/cron/daily_pipeline.sh: line 7: docker: command not found
 Container producer_history_strava  Recreate
 Container producer_history_strava  Recreated
 Container elt_dbt  Recreate
 Container elt_dbt  Recreated
 Container slack_sender  Recreate
 Container slack_sender  Recreated
Attaching to elt_dbt, producer_history_strava, slack_sender
producer_history_strava  | Démarrage du producteur d'activités sportives...
producer_history_strava  | Generated activity for employee 66882: Judo from 2026-01-01 14:26:31 to 2026-01-01 15:26:31 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 91916: Rugby from 2026-01-09 15:40:39 to 2026-01-09 16:40:39 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 81676: Tennis from 2026-01-12 07:08:02 to 2026-01-12 08:08:02 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 39874: Tennis from 2026-02-06 22:47:46 to 2026-02-07 00:47:46 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 97309: Tennis from 2026-01-02 19:54:38 to 2026-01-02 22:54:38 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 51866: Runing from 2026-01-25 20:32:04 to 2026-01-25 21:32:04 with distance Nonem and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 25701: Runing from 2026-02-13 03:15:07 to 2026-02-13 04:15:07 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 34678: Randonnée from 2026-02-13 18:40:46 to 2026-02-13 21:40:46 with distance 16485m and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 86633: Runing from 2026-02-14 13:31:14 to 2026-02-14 14:31:14 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 89328: Tennis de table from 2026-02-03 10:02:42 to 2026-02-03 13:02:42 with distance Nonem and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 53944: Natation from 2026-01-26 03:56:08 to 2026-01-26 06:56:08 with distance 2386m and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 55153: Boxe from 2026-01-31 16:36:18 to 2026-01-31 18:36:18 with distance Nonem and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 34382: Équitation from 2026-01-28 14:58:57 to 2026-01-28 16:58:57 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 99401: Runing from 2026-02-14 15:53:37 to 2026-02-14 17:53:37 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 36981: Natation from 2026-02-02 14:16:38 to 2026-02-02 15:16:38 with distance 8083m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 66882: Judo from 2026-01-15 13:03:57 to 2026-01-15 14:03:57 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 43124: Équitation from 2026-01-30 05:44:27 to 2026-01-30 06:44:27 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 49804: Runing from 2026-02-09 12:21:55 to 2026-02-09 13:21:55 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 53944: Natation from 2026-01-17 14:47:57 to 2026-01-17 15:47:57 with distance 13010m and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 76903: Basketball from 2026-02-07 08:50:41 to 2026-02-07 10:50:41 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 36981: Natation from 2026-02-06 05:38:49 to 2026-02-06 08:38:49 with distance 12213m and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 50504: Escalade from 2026-01-13 05:29:25 to 2026-01-13 08:29:25 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 91916: Rugby from 2026-01-30 09:42:14 to 2026-01-30 12:42:14 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 56482: Tennis from 2026-02-09 13:22:09 to 2026-02-09 15:22:09 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 41377: Football from 2026-01-21 09:32:42 to 2026-01-21 11:32:42 with distance Nonem and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 34678: Randonnée from 2026-01-14 23:41:18 to 2026-01-15 01:41:18 with distance 6265m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 91916: Rugby from 2026-01-29 06:12:54 to 2026-01-29 08:12:54 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 29450: Randonnée from 2026-01-26 07:36:21 to 2026-01-26 10:36:21 with distance 3196m and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 55153: Boxe from 2026-02-02 02:45:48 to 2026-02-02 03:45:48 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 37866: Natation from 2026-01-10 21:47:02 to 2026-01-10 23:47:02 with distance 8683m and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 67121: Rugby from 2026-02-10 17:31:00 to 2026-02-10 18:31:00 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 56530: Runing from 2026-02-07 18:25:32 to 2026-02-07 21:25:32 with distance Nonem and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 94680: Natation from 2026-02-08 10:07:24 to 2026-02-08 12:07:24 with distance 11171m and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 60948: Runing from 2026-01-25 05:50:02 to 2026-01-25 08:50:02 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 29450: Randonnée from 2026-01-03 16:46:42 to 2026-01-03 19:46:42 with distance 16606m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 90207: Tennis from 2026-01-16 13:30:31 to 2026-01-16 15:30:31 with distance Nonem and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 76076: Football from 2026-01-13 23:53:27 to 2026-01-14 01:53:27 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 89328: Tennis de table from 2026-01-27 20:33:07 to 2026-01-27 21:33:07 with distance Nonem and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 20157: Basketball from 2026-02-08 20:35:55 to 2026-02-08 21:35:55 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 73367: Boxe from 2026-02-11 21:02:31 to 2026-02-11 22:02:31 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 34899: Football from 2026-01-14 02:37:57 to 2026-01-14 04:37:57 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 34678: Randonnée from 2026-02-05 14:48:19 to 2026-02-05 16:48:19 with distance 18632m and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 83440: Triathlon from 2026-01-22 19:38:15 to 2026-01-22 22:38:15 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 46304: Rugby from 2026-01-25 07:31:37 to 2026-01-25 08:31:37 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 23842: Voile from 2026-01-26 07:20:07 to 2026-01-26 10:20:07 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 71190: Badminton from 2026-01-08 17:52:29 to 2026-01-08 20:52:29 with distance Nonem and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 66882: Judo from 2026-01-28 14:35:35 to 2026-01-28 17:35:35 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 19260: Runing from 2026-01-24 17:10:28 to 2026-01-24 20:10:28 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 81676: Tennis from 2026-01-16 20:33:54 to 2026-01-16 22:33:54 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 99401: Runing from 2026-02-12 00:44:30 to 2026-02-12 01:44:30 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 37830: Randonnée from 2026-01-12 22:00:36 to 2026-01-13 01:00:36 with distance 4397m and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 17036: Escalade from 2026-01-07 17:21:59 to 2026-01-07 20:21:59 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 46903: Escalade from 2026-01-25 18:22:21 to 2026-01-25 21:22:21 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 56632: Voile from 2026-01-13 08:10:15 to 2026-01-13 10:10:15 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 56632: Voile from 2026-01-01 12:08:29 to 2026-01-01 14:08:29 with distance Nonem and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 86633: Runing from 2026-01-20 11:40:34 to 2026-01-20 13:40:34 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 46253: Randonnée from 2026-01-20 21:43:45 to 2026-01-21 00:43:45 with distance 2470m and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 17027: Tennis from 2026-01-30 23:03:18 to 2026-01-31 02:03:18 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 29450: Randonnée from 2026-01-13 03:05:11 to 2026-01-13 06:05:11 with distance 11735m and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 60358: Natation from 2026-01-03 11:09:51 to 2026-01-03 14:09:51 with distance 5952m and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 51866: Runing from 2026-02-01 04:05:10 to 2026-02-01 06:05:10 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 17997: Tennis de table from 2026-01-16 22:16:54 to 2026-01-17 00:16:54 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 90813: Natation from 2026-02-05 22:52:59 to 2026-02-06 00:52:59 with distance 16017m and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 39874: Tennis from 2026-01-15 06:17:25 to 2026-01-15 07:17:25 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 86633: Runing from 2026-02-06 11:42:10 to 2026-02-06 13:42:10 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 34382: Équitation from 2026-01-16 18:01:45 to 2026-01-16 19:01:45 with distance Nonem and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 55153: Boxe from 2026-01-30 08:31:13 to 2026-01-30 11:31:13 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 86633: Runing from 2026-02-06 19:37:20 to 2026-02-06 20:37:20 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 76903: Basketball from 2026-01-02 14:44:13 to 2026-01-02 16:44:13 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 19260: Runing from 2026-01-01 15:18:57 to 2026-01-01 16:18:57 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 81676: Tennis from 2026-01-02 11:08:52 to 2026-01-02 13:08:52 with distance Nonem and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 17036: Escalade from 2026-01-05 13:56:58 to 2026-01-05 16:56:58 with distance Nonem and comments 'Score: 10/10'
producer_history_strava  | Generated activity for employee 17997: Tennis de table from 2026-02-08 20:41:09 to 2026-02-08 21:41:09 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 31222: Natation from 2026-01-29 11:23:50 to 2026-01-29 12:23:50 with distance 8067m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 34382: Équitation from 2026-01-30 13:57:02 to 2026-01-30 16:57:02 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 34922: Tennis from 2026-02-10 16:32:48 to 2026-02-10 17:32:48 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 56482: Tennis from 2026-02-13 20:32:21 to 2026-02-13 21:32:21 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 88193: Randonnée from 2026-01-15 11:15:53 to 2026-01-15 13:15:53 with distance 2346m and comments 'Score: 7/10'
producer_history_strava  | Generated activity for employee 66882: Judo from 2026-01-13 14:26:13 to 2026-01-13 17:26:13 with distance Nonem and comments 'Score: 4/10'
producer_history_strava  | Generated activity for employee 66386: Badminton from 2026-01-24 20:41:19 to 2026-01-24 21:41:19 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 45221: Randonnée from 2026-01-05 13:26:14 to 2026-01-05 15:26:14 with distance 18933m and comments 'Score: 10/10'
producer_history_strava  | Connexion fermée.
[Kproducer_history_strava exited with code 0
[31m[1mAborting on container exit...[0m
 Container slack_sender  Stopping
 Container slack_sender  Stopped
 Container elt_dbt  Stopping
 Container elt_dbt  Stopped
 Container producer_history_strava  Stopping
 Container producer_history_strava  Stopped
elt_dbt                  | [0m11:05:03  Running with dbt=1.7.4
elt_dbt                  | [0m11:05:03  dbt version: 1.7.4
elt_dbt                  | [0m11:05:03  python version: 3.10.19
elt_dbt                  | [0m11:05:03  python path: /usr/local/bin/python3.10
elt_dbt                  | [0m11:05:03  os info: Linux-6.10.14-linuxkit-aarch64-with-glibc2.41
elt_dbt                  | [0m11:05:03  Using profiles dir at /app/profiles
elt_dbt                  | [0m11:05:03  Using profiles.yml file at /app/profiles/profiles.yml
elt_dbt                  | [0m11:05:03  Using dbt_project.yml file at /app/dbt_project.yml
elt_dbt                  | [0m11:05:03  adapter type: postgres
elt_dbt                  | [0m11:05:03  adapter version: 1.7.4
elt_dbt                  | [0m11:05:03  Configuration:
elt_dbt                  | [0m11:05:03    profiles.yml file [[32mOK found and valid[0m]
elt_dbt                  | [0m11:05:03    dbt_project.yml file [[32mOK found and valid[0m]
elt_dbt                  | [0m11:05:03  Required dependencies:
elt_dbt                  | [0m11:05:03   - git [[32mOK found[0m]
elt_dbt                  | 
elt_dbt                  | [0m11:05:03  Connection:
elt_dbt                  | [0m11:05:03    host: postgres
elt_dbt                  | [0m11:05:03    port: 5432
elt_dbt                  | [0m11:05:03    user: postgresuser
elt_dbt                  | [0m11:05:03    database: sport_activities_db
elt_dbt                  | [0m11:05:03    schema: public
elt_dbt                  | [0m11:05:03    connect_timeout: 10
elt_dbt                  | [0m11:05:03    role: None
elt_dbt                  | [0m11:05:03    search_path: None
elt_dbt                  | [0m11:05:03    keepalives_idle: 0
elt_dbt                  | [0m11:05:03    sslmode: None
elt_dbt                  | [0m11:05:03    sslcert: None
elt_dbt                  | [0m11:05:03    sslkey: None
elt_dbt                  | [0m11:05:03    sslrootcert: None
elt_dbt                  | [0m11:05:03    application_name: dbt
elt_dbt                  | [0m11:05:03    retries: 1
elt_dbt                  | [0m11:05:03  Registered adapter: postgres=1.7.4
elt_dbt                  | [0m11:05:03    Connection test: [[32mOK connection ok[0m]
elt_dbt                  | 
elt_dbt                  | [0m11:05:03  [32mAll checks passed![0m
elt_dbt                  | [0m11:05:05  Running with dbt=1.7.4
elt_dbt                  | [0m11:05:05  Registered adapter: postgres=1.7.4
elt_dbt                  | [0m11:05:05  Found 22 tests, 8 models, 3 sources, 0 exposures, 0 metrics, 401 macros, 0 groups, 0 semantic models
elt_dbt                  | [0m11:05:05  
elt_dbt                  | [0m11:05:05  Concurrency: 1 threads (target='dev')
elt_dbt                  | [0m11:05:05  
elt_dbt                  | [0m11:05:05  1 of 30 START test source_accepted_values_raw_data_rh_info_type_contrat__CDI__CDD  [RUN]
elt_dbt                  | [0m11:05:05  1 of 30 PASS source_accepted_values_raw_data_rh_info_type_contrat__CDI__CDD .... [[32mPASS[0m in 0.03s]
elt_dbt                  | [0m11:05:05  2 of 30 START test source_not_null_raw_data_rh_info_adresse_domicile ........... [RUN]
elt_dbt                  | [0m11:05:05  2 of 30 PASS source_not_null_raw_data_rh_info_adresse_domicile ................. [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:05  3 of 30 START test source_not_null_raw_data_rh_info_bu_salarie ................. [RUN]
elt_dbt                  | [0m11:05:05  3 of 30 PASS source_not_null_raw_data_rh_info_bu_salarie ....................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  4 of 30 START test source_not_null_raw_data_rh_info_distance_to_office_km ...... [RUN]
elt_dbt                  | [0m11:05:05  4 of 30 PASS source_not_null_raw_data_rh_info_distance_to_office_km ............ [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  5 of 30 START test source_not_null_raw_data_rh_info_id_salarie ................. [RUN]
elt_dbt                  | [0m11:05:05  5 of 30 PASS source_not_null_raw_data_rh_info_id_salarie ....................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  6 of 30 START test source_not_null_raw_data_rh_info_jours_cp ................... [RUN]
elt_dbt                  | [0m11:05:05  6 of 30 PASS source_not_null_raw_data_rh_info_jours_cp ......................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  7 of 30 START test source_not_null_raw_data_rh_info_moyen_de_deplacement ....... [RUN]
elt_dbt                  | [0m11:05:05  7 of 30 PASS source_not_null_raw_data_rh_info_moyen_de_deplacement ............. [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  8 of 30 START test source_not_null_raw_data_rh_info_salaire_brut ............... [RUN]
elt_dbt                  | [0m11:05:05  8 of 30 PASS source_not_null_raw_data_rh_info_salaire_brut ..................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  9 of 30 START test source_not_null_raw_data_rh_info_type_contrat ............... [RUN]
elt_dbt                  | [0m11:05:05  9 of 30 PASS source_not_null_raw_data_rh_info_type_contrat ..................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  10 of 30 START test source_not_null_raw_data_sport_activities_history_date_end . [RUN]
elt_dbt                  | [0m11:05:05  10 of 30 PASS source_not_null_raw_data_sport_activities_history_date_end ....... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  11 of 30 START test source_not_null_raw_data_sport_activities_history_date_start  [RUN]
elt_dbt                  | [0m11:05:05  11 of 30 PASS source_not_null_raw_data_sport_activities_history_date_start ..... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  12 of 30 START test source_not_null_raw_data_sport_activities_history_id_activity  [RUN]
elt_dbt                  | [0m11:05:05  12 of 30 PASS source_not_null_raw_data_sport_activities_history_id_activity .... [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:05  13 of 30 START test source_not_null_raw_data_sport_activities_history_id_salarie  [RUN]
elt_dbt                  | [0m11:05:05  13 of 30 PASS source_not_null_raw_data_sport_activities_history_id_salarie ..... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  14 of 30 START test source_not_null_raw_data_sport_activities_history_type_activity  [RUN]
elt_dbt                  | [0m11:05:05  14 of 30 PASS source_not_null_raw_data_sport_activities_history_type_activity .. [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  15 of 30 START test source_not_null_raw_data_sport_enterprise_id_duo ........... [RUN]
elt_dbt                  | [0m11:05:05  15 of 30 PASS source_not_null_raw_data_sport_enterprise_id_duo ................. [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  16 of 30 START test source_not_null_raw_data_sport_enterprise_id_salarie ....... [RUN]
elt_dbt                  | [0m11:05:05  16 of 30 PASS source_not_null_raw_data_sport_enterprise_id_salarie ............. [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:05  17 of 30 START test source_not_null_raw_data_sport_enterprise_type_activity .... [RUN]
elt_dbt                  | [0m11:05:05  17 of 30 PASS source_not_null_raw_data_sport_enterprise_type_activity .......... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  18 of 30 START test source_unique_raw_data_rh_info_id_salarie .................. [RUN]
elt_dbt                  | [0m11:05:05  18 of 30 PASS source_unique_raw_data_rh_info_id_salarie ........................ [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:05  19 of 30 START test source_unique_raw_data_sport_activities_history_id_activity  [RUN]
elt_dbt                  | [0m11:05:05  19 of 30 PASS source_unique_raw_data_sport_activities_history_id_activity ...... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:05  20 of 30 START test source_unique_raw_data_sport_enterprise_id_duo ............. [RUN]
elt_dbt                  | [0m11:05:05  20 of 30 PASS source_unique_raw_data_sport_enterprise_id_duo ................... [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:05  21 of 30 START sql table model public_silver.silver_rh_info .................... [RUN]
elt_dbt                  | [0m11:05:06  21 of 30 OK created sql table model public_silver.silver_rh_info ............... [[32mSELECT 161[0m in 0.06s]
elt_dbt                  | [0m11:05:06  22 of 30 START sql incremental model public_silver.silver_sport_activities_history  [RUN]
elt_dbt                  | [0m11:05:06  22 of 30 OK created sql incremental model public_silver.silver_sport_activities_history  [[32mINSERT 0 0[0m in 0.06s]
elt_dbt                  | [0m11:05:06  23 of 30 START sql table model public_silver.silver_sport_enterprise ........... [RUN]
elt_dbt                  | [0m11:05:06  23 of 30 OK created sql table model public_silver.silver_sport_enterprise ...... [[32mSELECT 95[0m in 0.02s]
elt_dbt                  | [0m11:05:06  24 of 30 START sql table model public_gold.gold_incorrect_moyen_deplacement .... [RUN]
elt_dbt                  | [0m11:05:06  24 of 30 OK created sql table model public_gold.gold_incorrect_moyen_deplacement  [[32mSELECT 30[0m in 0.03s]
elt_dbt                  | [0m11:05:06  25 of 30 START sql table model public_gold.gold_potential_moyen_deplac_bonus ... [RUN]
elt_dbt                  | [0m11:05:06  25 of 30 OK created sql table model public_gold.gold_potential_moyen_deplac_bonus  [[32mSELECT 48[0m in 0.03s]
elt_dbt                  | [0m11:05:06  26 of 30 START sql table model public_gold.gold_rh_info ........................ [RUN]
elt_dbt                  | [0m11:05:06  26 of 30 OK created sql table model public_gold.gold_rh_info ................... [[32mSELECT 38[0m in 0.03s]
elt_dbt                  | [0m11:05:06  27 of 30 START sql incremental model public_gold.gold_slack_message_activities . [RUN]
elt_dbt                  | [0m11:05:06  27 of 30 OK created sql incremental model public_gold.gold_slack_message_activities  [[32mINSERT 0 0[0m in 0.03s]
elt_dbt                  | [0m11:05:06  28 of 30 START sql incremental model public_gold.gold_sport_activities_history . [RUN]
elt_dbt                  | [0m11:05:06  28 of 30 OK created sql incremental model public_gold.gold_sport_activities_history  [[32mINSERT 0 0[0m in 0.04s]
elt_dbt                  | [0m11:05:06  29 of 30 START test not_null_gold_rh_info_id_salarie ........................... [RUN]
elt_dbt                  | [0m11:05:06  29 of 30 PASS not_null_gold_rh_info_id_salarie ................................. [[32mPASS[0m in 0.02s]
elt_dbt                  | [0m11:05:06  30 of 30 START test unique_gold_rh_info_id_salarie ............................. [RUN]
elt_dbt                  | [0m11:05:06  30 of 30 PASS unique_gold_rh_info_id_salarie ................................... [[32mPASS[0m in 0.01s]
elt_dbt                  | [0m11:05:06  
elt_dbt                  | [0m11:05:06  Finished running 22 tests, 5 table models, 3 incremental models in 0 hours 0 minutes and 0.78 seconds (0.78s).
elt_dbt                  | [0m11:05:06  
elt_dbt                  | [0m11:05:06  [32mCompleted successfully[0m
elt_dbt                  | [0m11:05:06  
elt_dbt                  | [0m11:05:06  Done. PASS=30 WARN=0 ERROR=0 SKIP=0 TOTAL=30
[Kelt_dbt exited with code 0
slack_sender             | Démarrage du producteur d'activités sportives...
slack_sender             | Connecté à la base de données sport_activities_db sur postgres:5432 en tant qu'utilisateur postgresuser.
slack_sender             | Connexion fermée.
[Kslack_sender exited with code 0
Mon Feb 16 12:05:07 CET 2026: Daily pipeline execution completed
 Container producer_history_strava  Recreate
 Container producer_history_strava  Recreated
 Container elt_dbt  Recreate
 Container elt_dbt  Recreated
 Container slack_sender  Recreate
 Container slack_sender  Recreated
Attaching to elt_dbt, producer_history_strava, slack_sender
producer_history_strava  | Démarrage du producteur d'activités sportives...
